technique_id,name,tradition,school,status,output_type,domains,notes
WEST-SECT,Sect,Western astrology,Hellenistic,researching,classification,SELF;PURPOSE;SHADOW,"Day/night chart condition and sect relationship."
WEST-DIGNITY-DOMICILE,Domicile dignity,Western astrology,Traditional,researching,classification,SELF;PURPOSE;CAREER,"Planet in its domicile."
WEST-DIGNITY-EXALTATION,Exaltation,Western astrology,Traditional,researching,classification,SELF;PURPOSE;CAREER,"Planetary exaltation doctrine."
WEST-DIGNITY-TRIPLICITY,Triplicity rulership,Western astrology,Hellenistic;Medieval,researching,classification,SELF;PURPOSE;TIME,"Triplicity rulers vary by sect/tradition."
WEST-DIGNITY-BOUNDS,Bounds or terms,Western astrology,Hellenistic;Traditional,researching,classification,SELF;PURPOSE,"Must preserve table/version provenance."
WEST-DIGNITY-FACE,Decan or face dignity,Western astrology,Traditional,researching,classification,SELF,"Minor dignity systems."
WEST-RECEPTION,Reception,Western astrology,Traditional,researching,relationship,LOVE;CAREER;SOCIAL,"Includes mutual reception variants."
WEST-PLANETARY-JOYS,Planetary joys,Western astrology,Hellenistic,researching,classification,SELF;PURPOSE,"Reserved for the later/traditional house-planet joy scheme. Do not use for Ptolemy's separate 'rejoicing' condition language."
WEST-AVERSION,Aversion,Western astrology,Hellenistic,researching,relationship,LOVE;SHADOW;SOCIAL,"Sign-based witnessing logic."
WEST-BONIFICATION,Benefic bonification,Western astrology,Hellenistic,researching,interpretation,SELF;MONEY;LOVE;PURPOSE,"Source-specific conditions required."
WEST-MALTREATMENT,Malefic maltreatment,Western astrology,Hellenistic,researching,interpretation,SHADOW;LOVE;CAREER,"Source-specific conditions required."
WEST-COMBUSTION,Combustion,Western astrology,Traditional,researching,classification,SELF;SHADOW;CAREER,"Orb conventions must be explicit."
WEST-CAZIMI,Cazimi,Western astrology,Traditional,researching,classification,SELF;PURPOSE;CAREER,"Definition/orbs vary historically."
WEST-UNDER-BEAMS,Under the beams,Western astrology,Traditional,researching,classification,SELF;SHADOW,"Definition/orbs vary by school."
WEST-PLANETARY-SPEED,Planetary speed and station,Western astrology,Traditional,researching,calculation,SELF;TIME,"Deterministic astronomical input plus traditional interpretation."
WEST-RETROGRADE,Retrogradation,Western astrology,Traditional,researching,classification,SELF;SHADOW;TIME,"Interpretation differs by school."
WEST-ORIENTAL-OCCIDENTAL,Oriental and occidental condition,Western astrology,Traditional,researching,classification,SELF;PURPOSE,"Planet-specific doctrine."
WEST-HELIACAL,Heliacal phenomena,Western astrology,Hellenistic;Traditional,planned,calculation,SELF;PURPOSE;TIME,"Requires astronomical visibility model."
WEST-LOTS-FORTUNE,Lot of Fortune,Western astrology,Hellenistic,researching,calculation,MONEY;TIME,"Day/night formulas must be source-tagged."
